day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,stock
184.14999389648438,181.5834223788311,179.0069411932129,179.8967949605684,181.5964457287238,184.13559361370676,187.21101283478504,189.26483111886338,191.90168567908208,192.1109804097022,aapl
184.14999389648438,182.67778928189114,181.23030113948653,182.02390076060365,179.6050120632439,175.84708289018081,175.0324961732626,177.9858807889344,176.53119973344704,177.0367324020258,aapl
184.14999389648438,184.29644799827489,184.4397634790261,186.91145627327782,190.20352442109942,191.0814259498241,191.4648882055637,190.79768982376197,188.51821628944134,188.06637647459198,aapl
184.14999389648438,187.46215758275295,190.9776478567778,190.59160318381277,188.50166263773843,185.67916507155903,186.7297090839296,187.16645891932237,186.95106608155882,184.8309027508179,aapl
184.14999389648438,182.92082630062475,181.71563733236187,184.77402473769016,186.9913944385286,191.3649350963043,188.66641360883705,186.9381985601387,186.41704778069843,190.63315006242883,aapl
184.14999389648438,182.81768946631087,181.509951908132,178.7577281695231,179.68662767456718,182.71717492183168,184.93359795894665,183.35130764295806,183.46555012291043,180.09504551387778,aapl
184.14999389648438,182.7444643824177,181.36367808472167,178.67214160217833,173.98545618597808,174.73794678443986,176.68933276710365,178.26772716562823,178.14240957219386,178.1275089749335,aapl
184.14999389648438,185.81742476985312,187.49078879691228,186.7705869358039,184.95953587061783,184.38829964414765,183.9569561290084,186.32733276581715,183.91614173970535,183.94885549788458,aapl
184.14999389648438,183.92455929758017,183.70435513269618,184.4934318156237,182.08611426711315,181.6905469607946,184.34670549026924,184.5267126023684,186.0698277309267,186.50271884790436,aapl
184.14999389648438,185.7344066564207,187.3211449561477,189.67587951880495,187.77041336304748,188.21701008773343,190.19227384685377,185.45866231875726,184.33687394990312,183.3155101459036,aapl
184.14999389648438,181.0116762402513,177.8111574935584,177.930201330999,175.79564157429095,177.46555745317184,177.4480816156309,172.99319714052675,174.06565236765195,174.17964497067283,aapl
184.14999389648438,183.26410721696385,182.39784174381006,181.29697375771752,176.76753146376296,177.50187444726893,178.93272466136077,178.43893184953188,178.5120893453976,179.98525990033204,aapl
184.14999389648438,185.64750616824162,187.1440718860303,188.72838218123127,188.06594170116054,188.37721476439918,188.01276136612614,187.4341267112151,191.5067734855562,187.8653382770334,aapl
184.14999389648438,186.49706092671903,188.89982260746623,186.15592151708097,185.2251669776634,184.2313542327975,180.31212335485526,179.80573055161355,180.6517358341754,180.7383603847479,aapl
184.14999389648438,187.5786269715264,191.23566203459018,194.2759135964087,193.77035579238594,190.8856498768183,189.11217841770645,183.317431373712,183.8850814983541,183.04030660402063,aapl
184.14999389648438,180.6697716760684,177.08187839291645,172.3084437500952,172.39985800921684,171.76518461215042,169.65914382249986,171.32653890044648,172.4104241303163,171.0176003422813,aapl
184.14999389648438,183.73137895369072,183.32257933316464,181.0099921320376,183.30667085948417,185.9489938996047,187.26316281257797,184.0718082052391,182.14252138079055,183.3641232104726,aapl
184.14999389648438,187.81346273448884,191.76117344371312,190.91296582384066,187.04782094424468,191.50831086460835,188.0888214667459,187.72995366262688,186.23049003117166,185.1267057555737,aapl
184.14999389648438,182.99534954164213,181.86403061879827,179.25361456167414,180.0617609391593,178.89461973044013,180.7585201239862,179.43575475816354,179.82872666905863,174.78260476341904,aapl
184.14999389648438,181.20920752722134,178.22746954879958,179.5247051658157,180.97562009660763,186.51465883788043,188.6582514125208,189.26761678676857,192.13718699787566,189.02705249519735,aapl
184.14999389648438,186.26889748288392,188.42245873439896,189.87251392022193,191.93860766363824,190.20316989964442,189.31468491181994,189.71950048812278,187.01614279688116,190.41291566523566,aapl
184.14999389648438,186.1156964443817,188.10448565019792,188.0045004457787,185.08851508506405,182.48048791544815,181.74244649829717,182.82318010625931,183.00983787992593,181.16067065541102,aapl
184.14999389648438,182.35380951523874,180.57933776024973,178.69776274706274,180.06141774881112,176.86226160948567,175.1592589178303,173.9781930320438,177.03766395128267,179.24417540476247,aapl
184.14999389648438,186.01079754609663,187.88787528136422,189.04492711383145,194.38454287778913,193.75573375850473,191.65667048340342,193.1387028115439,193.8605559990043,198.05085497748627,aapl
184.14999389648438,180.87786315738222,177.52708674643804,173.3688854754017,172.36753436562242,176.56943196801473,177.67785378289085,176.89245126516752,179.13888460352405,183.52915002790948,aapl
184.14999389648438,187.08094772739992,190.1446390152561,189.68296647423014,193.81423684636508,194.73457355697525,191.62286949678898,194.21280694689344,199.66799491023812,204.7188086170043,aapl
184.14999389648438,182.48698102676437,180.8475291956746,184.98134312875635,186.0015609639782,186.0024498724134,185.56808572258453,184.32925496222677,185.83059791604273,185.29615733200635,aapl
184.14999389648438,184.41347646877114,184.67155257331322,190.69564821133886,192.7969134942616,194.98591819785182,187.97279998292183,195.22808411695559,198.8240197337034,192.87819705810637,aapl
184.14999389648438,185.82914878087118,187.51478540020938,186.05739455918976,184.54364923959517,184.65899892443272,185.58645606095706,180.37872042903058,178.78072469408434,178.8925145865611,aapl
184.14999389648438,192.94238035315752,205.574439929614,203.47077665181615,209.08044271905726,197.7736301624114,192.57893556741172,193.89488074782042,190.25865562530905,185.95958322290338,aapl
184.14999389648438,185.20476031180817,186.2490699973853,186.38976334514024,185.0129047388094,185.1206329445463,186.90391730487602,183.11079016974116,184.0725898304367,187.52979759640547,aapl
184.14999389648438,187.31626305945773,190.65680880001463,193.54467530597975,193.4725797202208,194.30371404746708,192.65986396860387,193.57113655067786,196.83384060108358,197.7702437472794,aapl
184.14999389648438,180.7135535014924,177.17590688501582,175.05517448381926,177.2443224021186,174.17781167777997,171.1209624354536,170.9486983718983,168.81987361358438,168.39644626586536,aapl
184.14999389648438,182.54240073436773,180.95887752341469,180.9710325619929,179.7831286904704,180.67368056010082,179.38273572083003,177.9786891387845,178.97669770155113,177.33446990898057,aapl
184.14999389648438,183.4887702929295,182.8428247924869,181.41636644809302,189.60585709383489,189.02300690459856,186.93608344032486,189.2880355057053,188.90408773909175,192.46525755067634,aapl
184.14999389648438,186.94892138669343,189.86003138231874,191.17695475408442,192.57801405103146,189.98072694704308,191.39827080698825,195.79603229075553,196.00031361263095,198.65920247651917,aapl
184.14999389648438,185.48745825747937,186.81922289284347,185.3350424921993,182.6857382901618,186.65636533962567,184.19073916832954,188.44294953905015,182.89136993760752,184.10230253204622,aapl
184.14999389648438,187.08570763684443,190.15493607660332,192.79820654850602,192.9645130634939,193.17235472138634,196.02853928889843,195.76682950455142,199.2872117617022,197.9458661870898,aapl
