simulation,stock
137.29569138287394,aapl
117.29031212031957,aapl
409.06742473517056,aapl
152.8068726853457,aapl
203.36221963639275,aapl
247.65937634095874,aapl
239.10534218670207,aapl
189.2645792562343,aapl
271.8404405548589,aapl
175.11038406811727,aapl
241.40462165700635,aapl
133.09198280286108,aapl
105.98637533147196,aapl
170.58955788313722,aapl
168.3163395247395,aapl
173.4274241060935,aapl
231.28691414624828,aapl
283.26641585018206,aapl
315.5444907479629,aapl
120.89165089028668,aapl
217.44394887849433,aapl
180.54549740961912,aapl
118.67468174444319,aapl
124.36286025240472,aapl
182.36598344214804,aapl
164.56289133649616,aapl
143.62581588652893,aapl
240.59589138562086,aapl
176.77268256755752,aapl
172.34637512794376,aapl
183.06826589080254,aapl
250.52141850505052,aapl
183.96797460777876,aapl
236.2338950105369,aapl
163.36922961208717,aapl
218.8525087770837,aapl
223.6008855553115,aapl
208.449013349403,aapl
223.72945180922878,aapl
110.54840915015237,aapl
96.15118996193225,aapl
132.08715466597178,aapl
182.31452386287225,aapl
207.3097016139926,aapl
186.80715198922556,aapl
113.730104772916,aapl
228.76859055878728,aapl
132.83211673599308,aapl
120.79627569481721,aapl
190.00244336132423,aapl
210.23075769053506,aapl
96.62248574798325,aapl
231.4420637599131,aapl
113.13678108786988,aapl
157.7967541669472,aapl
148.6215749209927,aapl
220.461715080133,aapl
177.75125947385695,aapl
218.11156585621254,aapl
158.11438699589792,aapl
299.46748523891796,aapl
258.40526733442084,aapl
242.62507666649435,aapl
167.5668615732502,aapl
210.96437913377548,aapl
188.35434762161796,aapl
149.11156909361097,aapl
189.47528624406502,aapl
269.0048983501569,aapl
129.18458183873332,aapl
163.68911747880804,aapl
176.76191575985132,aapl
182.13998264837855,aapl
133.43063600661435,amzn
137.2490766928452,amzn
209.96077040776171,amzn
353.01132098394316,amzn
238.54947609001624,amzn
118.34471874536824,amzn
74.49525527840633,amzn
252.30861198585637,amzn
123.29999670462004,amzn
268.8455118119948,amzn
177.77989007379705,amzn
120.98559575302758,amzn
464.35267046392664,amzn
321.04536220385927,amzn
156.01453211453315,amzn
168.56343970888668,amzn
136.7304635961408,amzn
118.58269282207844,amzn
204.2006529720715,amzn
163.2084895871439,amzn
251.50033532599807,amzn
141.22087607268523,amzn
245.74172077536335,amzn
246.31008172253763,amzn
168.6774116352798,amzn
196.36536797071037,amzn
51.82752280949734,amzn
160.04866524593294,amzn
124.6747419708429,amzn
160.92550009513386,amzn
297.90036711740237,amzn
230.87590071509956,amzn
173.2324392672747,amzn
157.5023107451862,amzn
152.34337209665648,amzn
145.96494663193212,amzn
157.51267024380684,amzn
236.24510431981508,amzn
241.4447265205697,amzn
166.16654065476774,amzn
131.40001203726933,amzn
92.2839537056935,amzn
217.45533447960145,amzn
151.09427966720514,amzn
146.1836792065836,amzn
174.51164366552217,amzn
157.66062455751882,amzn
134.93220170535693,amzn
135.3053867887579,amzn
168.60680585504784,amzn
238.65781152484388,amzn
193.94835505492694,amzn
208.60683450243891,amzn
115.32002292179794,amzn
189.25330967884292,amzn
123.2797907755859,amzn
233.55858255978814,amzn
122.49966713976623,amzn
138.19258929020253,amzn
251.67140918964233,amzn
232.18756565509543,amzn
157.9737193988247,amzn
178.39685958381185,amzn
170.9597531203247,amzn
137.03680705923446,amzn
114.32815864410091,amzn
124.08183186608886,amzn
245.12697145470202,amzn
80.41247509976334,amzn
167.93618488313666,amzn
180.61529623840386,amzn
177.5839056557184,amzn
254.98026924057163,amzn
190.00467111988874,amzn
228.99628344326115,amzn
131.04707748428626,amzn
308.4633785667899,amzn
158.70289361563405,amzn
70.17094862980974,amzn
88.62804208261382,amzn
255.89973530308606,amzn
114.5430628282925,amzn
191.7734408491532,amzn
105.20168429225716,amzn
161.43163043888157,amzn
126.28514563994237,amzn
244.91758519325109,amzn
193.02793725572,amzn
147.66401295095912,amzn
121.10747752858128,amzn
270.58175280418374,amzn
164.70605537986077,amzn
168.22555594263866,amzn
266.02288702886096,amzn
253.36434042090193,amzn
208.33552553930093,amzn
165.33326185402242,amzn
340.4037003605371,amzn
200.22125471295504,amzn
109.17278249660765,amzn
137.3814845411392,amzn
182.36372053491561,amzn
111.21969149868077,amzn
130.3472866202174,amzn
161.03502480323297,amzn
189.36087909911143,amzn
184.7695566354799,amzn
182.13941636740293,amzn
195.33610519810813,amzn
360.1710522326592,amzn
453.53178542561307,amzn
216.7124455775726,amzn
136.00954908463493,amzn
186.8645752953225,amzn
142.14526855748485,amzn
116.40242966743604,amzn
107.1426401961832,amzn
311.9526795802561,amzn
231.47456502776336,amzn
138.0136532213165,amzn
237.30155822953927,amzn
312.3789974719754,amzn
252.98999565341416,amzn
143.5066032194912,amzn
207.43072392092503,amzn
180.0324192299464,amzn
160.46805544688922,amzn
282.53327145458485,amzn
134.97836390373232,amzn
377.3465548685653,amzn
136.7707608935392,amzn
251.2980378617738,amzn
491.99443024804003,amzn
233.38585644412845,amzn
213.75727782079827,amzn
198.45686885328573,amzn
115.80366885519628,amzn
289.14878883900616,amzn
242.72860790715438,amzn
160.69795175496907,amzn
142.2955779583268,amzn
135.4801310885938,amzn
143.61019470384133,amzn
