day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10
406.32000732421875,414.64166238897667,423.4412586178288,418.64328256576044,415.0733878967482,413.76889223995295,409.3575063637789,399.409107759926,410.98475907165687,415.0553952610119
406.32000732421875,412.8798757406799,419.59752550737386,423.2057429449785,425.0189951846565,430.30435503456465,436.5785851429465,441.9614806551841,441.3754868820969,447.30111109327544
406.32000732421875,404.4879033474345,402.731061441113,407.9619689749509,401.0149240794444,403.56397602966905,409.14685553193254,407.9092381812313,405.08428338144,405.0459718740312
406.32000732421875,413.85920028217106,421.7138093508106,419.92738274993076,419.4557158339906,417.3621362324482,421.8720520998375,429.0603426113368,429.8255775687882,445.3870060420591
406.32000732421875,404.40855993011206,402.5753232902555,401.0334622185563,403.66910714394,404.49540735547674,404.49725150932693,404.4000740097749,408.67570398034815,410.95664038929755
406.32000732421875,406.9419224712449,407.5396614046143,412.6734115663209,409.8388665731195,418.13419728154923,426.53741526116835,426.24573456682623,420.13671352339605,409.9901601474635
406.32000732421875,415.82984088806035,426.13260022249983,425.44501149092065,428.67814472688156,429.56393889186234,432.12689281294365,432.4803933807128,430.94797599930286,431.83183909015673
406.32000732421875,402.39075122503317,398.5871606788069,400.0350350300202,395.00695494093594,393.29848619084487,399.13916701089187,395.98359174735805,401.8023025546195,394.1852284476527
406.32000732421875,405.30575962114455,404.3340155569628,401.5526947680182,407.5997044591432,403.68490752157294,406.9763812528309,413.49691454886664,411.5626575969397,416.5727867903311
406.32000732421875,408.34976117281786,410.31611137105693,419.3390162170786,415.18226657752365,412.78226794922523,410.1841945117895,408.1166098405291,404.52059752450197,386.28914208068517
406.32000732421875,403.36026975288496,400.51127995697203,400.22657541835935,406.94442945442654,404.2045569434746,407.8958913472169,413.72095673213715,416.925396242747,415.65364575008056
406.32000732421875,401.2023372661068,396.199938504875,395.8624438431531,385.51110445482567,387.43560066966523,387.6376278561351,395.1336767635169,390.1572507860237,386.8968212274084
406.32000732421875,410.73904428221033,415.1237288480249,419.7334398526974,423.3700527544546,422.7773798906281,424.68522157976577,420.24833974329374,417.213293586434,410.423579263345
406.32000732421875,395.8339940640415,384.77607766467196,366.2370377470559,390.1369626199131,374.7817429836366,372.93794966471097,361.65562341238115,366.43016865696035,350.6557482766339
406.32000732421875,394.9987558057165,382.87482567929163,385.9574221227935,383.823962146629,380.8568180313608,389.6669726521728,398.0716003407586,404.51348920709313,405.1907893358581
406.32000732421875,407.8297285712177,409.28721567704036,410.07809549372877,409.56264623824677,409.77290114513454,409.45146503115626,410.52083906056316,416.88062049088734,429.31557596791714
406.32000732421875,407.1097725383888,407.86936293092015,408.87412037456266,411.10987999621216,417.9665711549582,421.1413669803384,416.88895553960725,419.71591583524344,422.536588025493
406.32000732421875,397.5500179255078,388.566773769548,381.320229309752,379.04241887595066,383.76890342822225,381.82642492745424,372.2929359955537,369.7089891045733,365.0872425455976
406.32000732421875,403.2404781978498,400.27445978510696,402.68028610031774,407.02008019365286,407.367255217139,398.3495650081874,395.7476398509968,401.3343211131926,409.42603996884594
406.32000732421875,409.411100639106,412.4328700172834,418.0155445934325,417.6221491006165,418.46452274691393,421.41300252440624,421.30376666567525,423.5976103546058,430.3121224103444
406.32000732421875,395.31482620187694,383.5988302728226,383.66599640874665,393.65819807640196,394.6707078428321,384.2924973754534,381.64372947677634,385.09010543982055,384.0964597808901
406.32000732421875,397.198557253323,387.8024184638456,381.6195793776812,385.68443726883964,381.8617120173338,379.61035086044626,380.2415916363649,383.25946556053736,390.0276993338599
406.32000732421875,398.4610064236574,390.521174435117,392.51608316714754,402.5212528893302,411.9514162221314,420.7229431365632,428.82603514464705,434.50046209864706,431.0739967448706
