day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10
184.14999389648438,181.79115756622528,179.43487900485746,179.017734855284,183.28288980404213,184.37006721883628,183.99916229169494,186.9635467383431,189.00292730386414,188.6902070534393
184.14999389648438,181.36055683183824,178.5441215494241,178.1029581815623,180.35042523855,178.76839119015725,178.97862856495703,178.07252105759798,181.48677806466893,181.76291525046196
184.14999389648438,186.44367332327298,188.78770017394186,188.4804531655738,187.5660483843425,185.42467900910748,181.5132760829613,181.41757075903737,184.07411302171136,183.16490186293365
184.14999389648438,180.53008362524727,176.78056461069332,179.8323076924456,180.03551315266324,181.11412759166026,179.6522503519881,177.0130783496013,173.42405335579676,171.48668522485818
184.14999389648438,184.5214345713647,184.8856217646625,190.12587726179345,191.28287459255432,188.26665685795396,188.75764565320458,189.77558752640397,187.04617773336503,188.8187079761314
184.14999389648438,189.61327394384253,196.0571232608965,194.35613513788545,193.0379642280314,198.19758336940126,195.01880588834175,196.18893095283318,196.1552887571814,196.49867034492576
184.14999389648438,185.54274971147782,186.93126783410753,187.65211345672046,184.80318401534547,182.22597093511845,182.03769598167406,181.12956765219025,179.91995310831607,181.91512648098472
184.14999389648438,182.37423466075185,180.62053104592871,183.02256944436994,181.89032376941051,185.30535569028953,189.15278961015503,191.49628766400608,193.21574040993195,195.941870549911
184.14999389648438,184.9597502924668,185.7581519088347,183.25386435743943,183.7838388158699,182.67173457656781,182.66917846479137,182.42192455646523,180.56063393157842,176.6238366312092
184.14999389648438,183.56038817221108,182.98450940453645,183.16792352821597,185.07631950382654,185.64500273905566,185.30482349391815,187.4973921637376,191.2897526758257,195.36737916777844
184.14999389648438,186.38728886246847,188.66956966797284,190.6709227041046,187.38118911717888,186.48661134033182,182.7854842530542,181.1832274606865,178.03703362153612,174.4125980902811
184.14999389648438,186.14375382897114,188.16257293094648,192.76234327054433,195.4225557355401,195.77284529396363,197.4821507794319,199.47565713150112,198.78494679799638,198.81861680349812
184.14999389648438,185.10557248329587,186.05000345974128,186.4228926301387,186.47261277449587,185.55667586571073,186.81363552229894,188.67959186539258,188.6870835119528,188.61882719847603
184.14999389648438,180.86703419167083,177.50402330329342,175.22464333504527,178.77295377275195,178.00492147025537,176.01113204765198,175.26487483732492,172.17196973619187,173.25286198294617
